2024-01-08,Keyboard,669.81,Ahmedabad,CUST00861,4
2024-02-24,Webcam,3403.7,Mumbai,CUST00922,4
2024-08-16,Headphones,2745.68,Mumbai,CUST00151,3
2024-07-09,Scanner,179.93,Chennai,CUST00789,2
2024-04-17,Webcam,2122.4,Chennai,CUST00810,5
2024-10-10,Printer,387.65,Pune,CUST00474,4
2024-06-21,Keyboard,767.45,Ahmedabad,CUST00635,1
2024-02-09,Monitor,2172.24,Pune,CUST00772,5
2024-03-15,Printer,2336.54,Chennai,CUST00040,5
2024-11-19,Keyboard,4472.56,Hyderabad,CUST00937,4
2024-08-27,Keyboard,1130.63,Kolkata,CUST00795,5
2024-12-27,Laptop,4872.13,Chennai,CUST00875,4
2024-03-15,Mouse,2829.33,Mumbai,CUST00252,5
2024-06-27,Keyboard,4399.06,Mumbai,CUST00466,4
2024-02-10,Printer,2830.34,Kolkata,CUST00067,4
2024-05-21,Mouse,1929.56,Bangalore,CUST00392,3
2024-08-05,Printer,1323.03,Kolkata,CUST00153,2
2024-03-01,Monitor,1337.86,Pune,CUST00632,1
2024-10-07,Webcam,1037.43,Mumbai,CUST00022,3
2024-05-30,Printer,1458.37,Bangalore,CUST00173,4
2024-04-11,Scanner,1305.02,Mumbai,CUST00940,3
2024-06-16,Monitor,232.68,Pune,CUST00352,1
2024-01-06,Printer,1902.9,Pune,CUST00697,3
2024-09-27,Laptop,2663.44,Mumbai,CUST00102,1
2024-12-09,Laptop,720.68,Pune,CUST00681,1
2024-12-14,Mouse,2291.14,Kolkata,CUST00104,4
2024-10-08,Scanner,2537.24,Mumbai,CUST00819,5
2024-04-08,Scanner,873.32,Mumbai,CUST00457,2
2024-01-23,Laptop,4007.9,Chennai,CUST00923,5
2024-08-30,Laptop,276.45,Ahmedabad,CUST00917,1
2024-02-21,Monitor,2710.34,Chennai,CUST00093,4
2024-11-21,Webcam,2444.29,Pune,CUST00368,3
2024-06-21,Laptop,4535.97,Ahmedabad,CUST00898,4
2024-06-11,Headphones,257.14,Mumbai,CUST00821,1
2024-08-15,Mouse,4463.15,Chennai,CUST00442,1
2024-12-02,Printer,3887.8,Ahmedabad,CUST00559,1
2024-03-15,Webcam,665.73,Chennai,CUST00908,5
2024-02-20,Scanner,2121.69,Hyderabad,CUST00379,1
2024-11-02,Mouse,308.89,Delhi,CUST00691,4
2024-05-12,Printer,4344.07,Bangalore,CUST00632,4
2024-02-05,Printer,3786.48,Ahmedabad,CUST00944,1
2024-08-22,Scanner,345.61,Hyderabad,CUST00328,2
2024-02-08,Printer,1290.68,Chennai,CUST00694,1
2024-01-28,Headphones,1797.54,Pune,CUST00427,4
2024-10-25,Laptop,721.96,Delhi,CUST00431,2
2024-10-21,Scanner,3133.06,Delhi,CUST00043,3
2024-10-28,Mouse,4588.16,Bangalore,CUST00742,3
2024-03-06,Monitor,3812.27,Bangalore,CUST00635,2
2024-12-14,Scanner,908.24,Delhi,CUST00782,2
2024-07-29,Keyboard,4424.7,Ahmedabad,CUST00984,1
2024-02-02,Scanner,1745.64,Kolkata,CUST00846,4
2024-09-08,Mouse,1594.86,Pune,CUST00141,5
2024-10-08,Headphones,478.51,Kolkata,CUST00878,4
2024-09-16,Printer,2446.51,Delhi,CUST00030,1
2024-05-09,Laptop,599.45,Hyderabad,CUST00214,5
2024-06-01,Scanner,2052.51,Chennai,CUST00219,1
2024-01-12,Laptop,574.22,Kolkata,CUST00412,2
2024-03-21,Webcam,4055.77,Hyderabad,CUST00817,2
2024-10-19,Headphones,216.45,Ahmedabad,CUST00754,2
2024-08-11,Monitor,4526.07,Kolkata,CUST00282,5
2024-03-30,Webcam,189.91,Ahmedabad,CUST00246,4
2024-09-15,Mouse,4966.96,Kolkata,CUST00696,4
2024-11-04,Webcam,764.92,Pune,CUST00020,3
2024-10-06,Keyboard,2446.44,Chennai,CUST00635,3
2024-11-01,Laptop,4336.35,Bangalore,CUST00945,4
2024-12-25,Mouse,1285.87,Delhi,CUST00868,3
2024-10-25,Monitor,1618.88,Bangalore,CUST00710,2
2024-03-01,Webcam,629.95,Bangalore,CUST00847,4
2024-03-09,Headphones,500.94,Kolkata,CUST00211,3
2024-02-20,Keyboard,2629.79,Pune,CUST00801,5
2024-10-28,Scanner,2538.96,Chennai,CUST00820,4
2024-10-02,Monitor,647.0,Pune,CUST00948,3
2024-10-09,Laptop,2187.84,Bangalore,CUST00939,2
2024-01-05,Monitor,4442.11,Hyderabad,CUST00882,2
2024-06-21,Scanner,1124.47,Hyderabad,CUST00793,5
2024-06-05,Laptop,2385.01,Hyderabad,CUST00584,5
2024-07-03,Headphones,870.5,Chennai,CUST00347,2
2024-02-14,Webcam,1521.49,Mumbai,CUST00272,2
2024-03-10,Monitor,757.2,Kolkata,CUST00196,4
2024-11-19,Printer,1391.07,Kolkata,CUST00961,4
2024-02-05,Headphones,4285.98,Hyderabad,CUST00641,1
2024-10-31,Laptop,3874.27,Ahmedabad,CUST00524,3
2024-06-19,Keyboard,3038.93,Chennai,CUST00962,4
2024-03-05,Webcam,275.36,Mumbai,CUST00565,4
2024-06-02,Laptop,4124.55,Hyderabad,CUST00433,5
2024-01-30,Monitor,2089.01,Mumbai,CUST00146,5
2024-01-06,Printer,1092.2,Hyderabad,CUST00107,1
2024-05-03,Laptop,149.95,Delhi,CUST00049,4
